Year,Mass
1974,3.1075
1974,3.1139
1974,3.125
1974,3.1321
1974,3.1068
1974,3.1137
1974,3.0635
1974,3.016
1974,3.07
1974,3.1073
1974,3.1196
1975,3.0746
1975,3.0956
1975,3.0746
1975,3.0593
1975,3.1017
1975,3.1089
1975,3.1067
1975,2.9985
1975,3.0581
1975,3.0711
1975,3.0957
1975,3.1016
1975,3.0774
1975,2.9983
1975,3.048
1975,3.0505
1975,3.0597
1975,3.072
1975,3.074
1975,3.078
1975,3.0813
1975,3.1084
1975,3.1153
1976,3.1248
1976,3.0778
1976,3.0932
1976,3.1175
1976,3.077
1976,3.1093
1976,3.1073
1976,3.0091
1976,3.0509
1976,3.115
1976,3.0776
1976,3.0789
1976,3.04
1976,3.063
1976,3.0645
1976,3.0733
1976,3.0807
1976,3.104
1976,3.1157
1977,3.0776
1977,3.115
1977,3.0795
1977,3.0801
1977,3.0915
1977,3.0776
1977,3.0865
1977,3.0793
1977,3.1021
1977,3.0959
1977,3.1087
1977,3.129
1978,3.1097
1978,3.1203
1978,3.1247
1978,3.0836
1978,3.1083
1978,3.011
1978,3.0227
1978,3.0461
1978,3.08
1978,3.0818
1978,3.086
1978,3.091
1978,3.094
1978,3.1131
1978,3.1412
1978,3.145
1979,3.07
1979,3.0713
1979,3.073
1979,3.0878
1979,3.1159
1979,3.1394
1980,3.044
1980,3.088
1980,3.092
1980,3.0944
1980,3.105
1980,3.1065
1980,3.108
1980,3.109
1980,3.1122
1980,3.1203
1981,3.061
1981,3.0731
1981,3.077
1981,3.077
1981,3.1108
1981,3.1244
1981,3.127
1981,3.1368
1982,3.0359
1982,3.0882
1982,2.499
1982,2.4998
1982,2.5
1982,2.5001
1982,2.513
1982,2.515
1982,2.5176
1983,2.478
1983,2.499
1983,2.5108
1983,2.5181
1983,2.528
1983,2.5416
1983,2.5481
1983,2.557
1984,2.4779
1984,2.4884
1984,2.504
1984,2.512
1984,2.527
1984,2.5312
1984,2.5489
1984,2.5556
1985,2.455
1985,2.5111
1985,2.5161
1985,2.5227
1985,2.533
1985,2.5333
1985,2.535
1985,2.5365
1985,2.592
1986,2.448
1986,2.492
1986,2.4974
1986,2.5046
1987,2.47
1987,2.4728
1987,2.4965
1987,2.5
1987,2.5014
1987,2.5019
1987,2.52
